iter	Passed	Remaining
725	4948	1867
726	4954	1860
727	4961	1853
728	4968	1846
729	4974	1840
730	4981	1833
731	4988	1826
732	4995	1819
733	5001	1812
734	5008	1805
735	5015	1798
736	5021	1792
737	5028	1785
738	5034	1778
739	5041	1771
740	5048	1764
741	5055	1757
742	5061	1750
743	5067	1743
744	5074	1736
745	5081	1730
746	5087	1723
747	5094	1716
748	5101	1709
749	5108	1702
750	5114	1695
751	5121	1688
752	5127	1682
753	5134	1675
754	5140	1668
755	5146	1661
756	5153	1654
757	5159	1647
758	5165	1640
759	5171	1633
760	5178	1626
761	5184	1619
762	5190	1612
763	5196	1605
764	5203	1598
765	5209	1591
766	5216	1584
767	5222	1577
768	5229	1570
769	5235	1563
770	5241	1556
771	5247	1549
772	5253	1542
773	5260	1536
774	5267	1529
775	5273	1522
776	5279	1515
777	5285	1508
778	5292	1501
779	5298	1494
780	5304	1487
781	5311	1480
782	5317	1473
783	5324	1466
784	5330	1460
785	5337	1453
786	5343	1446
787	5349	1439
788	5355	1432
789	5362	1425
790	5368	1418
791	5374	1411
792	5380	1404
793	5387	1397
794	5393	1390
795	5399	1383
796	5406	1376
797	5412	1370
798	5418	1363
799	5424	1356
800	5431	1349
801	5437	1342
802	5444	1335
803	5451	1328
804	5457	1322
805	5464	1315
806	5470	1308
807	5476	1301
808	5483	1294
809	5489	1287
810	5495	1280
811	5502	1273
812	5508	1266
813	5514	1260
814	5520	1253
815	5527	1246
816	5533	1239
817	5540	1232
818	5546	1225
819	5552	1218
820	5559	1212
821	5565	1205
822	5571	1198
823	5578	1191
824	5584	1184
825	5590	1177
826	5597	1170
827	5603	1163
828	5609	1157
829	5615	1150
830	5622	1143
831	5628	1136
832	5634	1129
833	5640	1122
834	5647	1115
835	5653	1109
836	5659	1102
837	5665	1095
838	5672	1088
839	5678	1081
840	5685	1074
841	5691	1067
842	5697	1061
843	5704	1054
844	5710	1047
845	5716	1040
846	5723	1033
847	5729	1026
848	5735	1020
849	5741	1013
850	5748	1006
851	5754	999
852	5760	992
853	5767	985
854	5773	979
855	5780	972
856	5786	965
857	5792	958
858	5798	951
859	5804	944
860	5811	938
861	5818	931
862	5824	924
863	5831	917
864	5837	911
865	5844	904
866	5850	897
867	5856	890
868	5863	883
869	5869	877
870	5875	870
871	5882	863
872	5888	856
873	5894	849
874	5900	842
875	5907	836
876	5913	829
877	5920	822
878	5926	815
879	5932	808
880	5938	802
881	5944	795
882	5951	788
883	5957	781
884	5963	774
885	5970	768
886	5976	761
887	5983	754
888	5989	747
889	5995	741
890	6002	734
891	6008	727
892	6015	720
893	6021	713
894	6027	707
895	6034	700
896	6040	693
897	6046	686
898	6051	679
899	6058	673
900	6064	666
901	6071	659
902	6077	652
903	6083	646
904	6089	639
905	6095	632
906	6102	625
907	6108	618
908	6114	612
909	6121	605
910	6127	598
911	6134	591
912	6140	585
913	6147	578
914	6153	571
915	6159	564
916	6165	558
917	6172	551
918	6178	544
919	6184	537
920	6190	531
921	6196	524
922	6202	517
923	6209	510
924	6215	503
925	6222	497
926	6229	490
927	6235	483
928	6242	477
929	6249	470
930	6255	463
931	6261	456
932	6268	450
933	6274	443
934	6280	436
935	6286	429
936	6293	423
937	6299	416
938	6305	409
939	6312	402
940	6318	396
941	6324	389
942	6330	382
943	6337	375
944	6343	369
945	6349	362
946	6355	355
947	6362	348
948	6368	342
949	6374	335
950	6380	328
951	6387	322
952	6393	315
953	6400	308
954	6407	301
955	6415	295
956	6422	288
957	6431	281
958	6439	275
959	6445	268
960	6452	261
961	6459	255
962	6466	248
963	6473	241
964	6480	235
965	6487	228
966	6493	221
967	6500	214
968	6507	208
969	6514	201
970	6520	194
971	6527	188
972	6533	181
973	6540	174
974	6547	167
975	6554	161
976	6561	154
977	6567	147
978	6573	141
979	6580	134
980	6587	127
981	6593	120
982	6601	114
983	6607	107
984	6614	100
985	6622	94
986	6629	87
987	6637	80
988	6645	73
989	6654	67
990	6661	60
991	6669	53
992	6676	47
993	6683	40
994	6691	33
995	6705	26
996	6713	20
997	6721	13
998	6729	6
999	6736	0
